idx	id	difficulty	category	detail	question_en	question_ko
12	prompt-routine-01	A	Routine	Weekday Mornings	How do you usually spend your weekday mornings?	평일 아침은 보통 어떻게 보내나요?
13	prompt-routine-11	A	Routine	Sunday Afternoons	How do you usually spend your Sunday afternoons?	일요일 오후는 보통 어떻게 보내나요?
14	prompt-routine-16	A	Routine	Free Time at Home	How do you usually spend your free time at home?	집에서 보내는 여유 시간은 보통 어떻게 보내나요?
15	prompt-routine-21	A	Routine	The Start of Saturday	How do you usually start your Saturdays?	토요일을 시작하는 방식은 보통 어떻게 보내나요?
16	prompt-preference-06	A	Preference	Movie Genre	What is your favorite movie genre, and why do you like it?	가장 좋아하는 영화 장르는 무엇이고, 왜 좋아하나요?
17	prompt-preference-11	A	Preference	Place to Relax	What is your favorite place to relax, and why do you like it?	편하게 쉬기 좋은 장소는 무엇이고, 왜 좋아하나요?
18	prompt-preference-16	A	Preference	Season	What is your favorite season, and why do you like it?	가장 좋아하는 계절은 무엇이고, 왜 좋아하나요?
19	prompt-preference-21	A	Preference	Music Genre	What is your favorite type of music, and why do you like it?	가장 좋아하는 음악 종류는 무엇이고, 왜 좋아하나요?
20	prompt-goal-11	B	Goal Plan	Health Goal	What is one health goal you want to reach this year, and how will you work toward it?	올해 이루고 싶은 건강 목표 하나는 무엇이고, 어떻게 실천할 건가요?
21	prompt-goal-16	B	Goal Plan	Language Practice	What is one language goal you want to focus on this year, and how will you work toward it?	올해 노력하고 싶은 언어 목표 하나는 무엇이고, 어떻게 실천할 건가요?
22	prompt-goal-21	B	Goal Plan	Confidence Goal	What is one area where you want to build more confidence this year, and how will you work on it?	올해 더 자신감을 키우고 싶은 분야 하나는 무엇이고, 어떻게 실천할 건가요?
23	prompt-problem-01	B	Problem Solving	Time Management	What is one challenge you often face with time management, and how do you handle it?	시간 관리에서 자주 겪는 어려움 하나와 그 대응 방법을 말해 주세요.
24	prompt-problem-06	B	Problem Solving	Staying Motivated	What is one challenge you often face with staying motivated, and how do you handle it?	동기 유지에서 자주 겪는 어려움 하나와 그 대응 방법을 말해 주세요.
25	prompt-problem-11	B	Problem Solving	Public Speaking	What is one challenge you often face with speaking in front of people, and how do you handle it?	사람들 앞에서 말하기에서 자주 겪는 어려움 하나와 그 대응 방법을 말해 주세요.
26	prompt-problem-16	B	Problem Solving	Work-Life Balance	What is one challenge you often face with balancing work and rest, and how do you handle it?	일과 휴식의 균형에서 자주 겪는 어려움 하나와 그 대응 방법을 말해 주세요.
27	prompt-problem-21	B	Problem Solving	Teamwork	What is one challenge you often face with working in a team, and how do you handle it?	팀으로 일하기에서 자주 겪는 어려움 하나와 그 대응 방법을 말해 주세요.
28	prompt-balance-01	C	Balanced Opinion	Social Media	How has social media changed daily life, and do you think the change is mostly positive?	소셜 미디어가 일상을 어떻게 바꿨고, 그 변화가 대체로 긍정적인지 말해 주세요.
29	prompt-balance-06	C	Balanced Opinion	Remote Work	How has remote work changed daily life, and do you think the change is mostly positive?	원격 근무가 일상을 어떻게 바꿨고, 그 변화가 대체로 긍정적인지 말해 주세요.
30	prompt-balance-11	C	Balanced Opinion	AI in Education	How has artificial intelligence in education changed daily life, and do you think the change is mostly positive?	교육에서의 인공지능이 일상을 어떻게 바꿨고, 그 변화가 대체로 긍정적인지 말해 주세요.
31	prompt-balance-16	C	Balanced Opinion	Online Shopping	How has online shopping changed daily life, and do you think the change is mostly positive?	온라인 쇼핑이 일상을 어떻게 바꿨고, 그 변화가 대체로 긍정적인지 말해 주세요.
32	prompt-balance-21	C	Balanced Opinion	Smartphones	How has daily smartphone use changed people's lives, and do you think the change is mostly positive?	일상 속 스마트폰 사용이 일상을 어떻게 바꿨고, 그 변화가 대체로 긍정적인지 말해 주세요.
33	prompt-opinion-06	C	Opinion Reason	Public Transportation	What responsibilities should public transportation in big cities have in modern society?	대도시의 대중교통이 현대 사회에서 어떤 책임을 가져야 하는지 말해 주세요.
34	prompt-opinion-11	C	Opinion Reason	Financial Education	What responsibilities should schools that teach financial skills have in modern society?	학교의 금융 교육이 현대 사회에서 어떤 책임을 가져야 하는지 말해 주세요.
35	prompt-opinion-16	C	Opinion Reason	Local Volunteering	What responsibilities should local volunteering have in modern society?	지역사회 봉사활동이 현대 사회에서 어떤 책임을 가져야 하는지 말해 주세요.
36	prompt-opinion-21	C	Opinion Reason	Platform Responsibility	What responsibilities should social media platforms have in modern society?	소셜 미디어 플랫폼이 현대 사회에서 어떤 책임을 가져야 하는지 말해 주세요.
37	prompt-reflection-01	C	Change Reflection	Success	Describe how your idea of success has changed over time and explain why.	성공에 대한 생각이 시간이 지나며 어떻게 바뀌었는지와 그 이유를 설명해 주세요.
38	prompt-reflection-06	C	Change Reflection	Study Habits	Describe how your study habits have changed over time and explain why.	공부 습관에 대한 생각이 시간이 지나며 어떻게 바뀌었는지와 그 이유를 설명해 주세요.
39	prompt-reflection-11	C	Change Reflection	Social Media	How has your view of social media changed over time, and why?	소셜 미디어에 대한 생각이 시간이 지나며 어떻게 바뀌었는지와 그 이유를 설명해 주세요.
40	prompt-reflection-16	C	Change Reflection	Money	Describe how your opinion about money has changed over time and explain why.	돈에 대한 생각이 시간이 지나며 어떻게 바뀌었는지와 그 이유를 설명해 주세요.
41	prompt-reflection-21	C	Change Reflection	Leadership	Describe how your understanding of leadership has changed over time and explain why.	리더십에 대한 이해가 시간이 지나며 어떻게 바뀌었는지와 그 이유를 설명해 주세요.
42	prompt-general-01	B	General	Useful App	Describe a useful app you use often and explain why it is meaningful to you.	자주 쓰는 유용한 앱을 설명하고, 왜 의미 있는지 말해 주세요.
43	prompt-general-06	B	General	Place in Your Town	Describe a place in your town that you like and explain why it is meaningful to you.	내가 좋아하는 동네의 장소를 설명하고, 왜 의미 있는지 말해 주세요.
44	prompt-general-11	B	General	Teacher or Mentor	Describe a teacher or mentor who influenced you and explain why it is meaningful to you.	영향을 준 선생님이나 멘토를 설명하고, 왜 의미 있는지 말해 주세요.
45	prompt-general-16	B	General	Recommended Hobby	Describe a hobby you would recommend to others and explain why it is meaningful to you.	다른 사람에게 추천하고 싶은 취미를 설명하고, 왜 의미 있는지 말해 주세요.
46	prompt-general-21	B	General	Meaningful Memory	Describe a memory that still matters to you and explain why it is meaningful to you.	지금도 의미 있는 기억을 설명하고, 왜 의미 있는지 말해 주세요.
47	prompt-routine-26	A	Routine	Before Bed	What do you usually do before bed?	잠들기 전 시간은 보통 어떻게 보내나요?
48	prompt-routine-31	A	Routine	On My Commute	What do you usually do during your commute?	출퇴근길에 시간은 보통 어떻게 보내나요?
49	prompt-routine-36	A	Routine	Lunch Break	How do you usually spend your lunch break?	점심시간에는 시간은 보통 어떻게 보내나요?
50	prompt-routine-41	A	Routine	Rainy Day at Home	What do you usually do on rainy days at home?	비 오는 날 집에 있을 때 시간은 보통 어떻게 보내나요?
51	prompt-routine-46	A	Routine	After Waking Up	What do you usually do right after you wake up?	막 일어난 직후에는 시간은 보통 어떻게 보내나요?
52	prompt-preference-26	A	Preference	Cafe Drink	What is your favorite cafe drink, and why do you like it?	가장 좋아하는 카페 음료는 무엇이고, 왜 좋아하나요?
53	prompt-preference-31	A	Preference	Book Genre	What is your favorite book genre, and why do you like it?	가장 좋아하는 책 장르는 무엇이고, 왜 좋아하나요?
54	prompt-preference-36	A	Preference	Dessert	What is your favorite dessert, and why do you like it?	가장 좋아하는 디저트는 무엇이고, 왜 좋아하나요?
55	prompt-preference-41	A	Preference	Way to Exercise	What is your favorite way to exercise, and why do you like it?	가장 좋아하는 운동 방식는 무엇이고, 왜 좋아하나요?
56	prompt-preference-46	A	Preference	Study Spot	What is your favorite study spot, and why do you like it?	가장 좋아하는 공부 장소는 무엇이고, 왜 좋아하나요?
57	prompt-goal-26	B	Goal Plan	Career Skill	What is one career skill you want to build this year, and how will you work toward it?	올해 키우고 싶은 커리어 역량 한 가지는 무엇이고, 어떻게 노력할 건가요?
58	prompt-goal-31	B	Goal Plan	Reading Habit	What is one reading habit you want to build this year, and how will you work toward it?	올해 만들고 싶은 독서 습관 한 가지는 무엇이고, 어떻게 노력할 건가요?
59	prompt-goal-36	B	Goal Plan	Savings Goal	What is one savings goal you want to reach this year, and how will you work toward it?	올해 이루고 싶은 저축 목표 한 가지는 무엇이고, 어떻게 노력할 건가요?
60	prompt-goal-41	B	Goal Plan	Fitness Routine	What is one fitness routine you want to keep this year, and how will you work toward it?	올해 유지하고 싶은 운동 루틴 한 가지는 무엇이고, 어떻게 노력할 건가요?
61	prompt-goal-46	B	Goal Plan	Creative Project	What is one creative project you want to finish this year, and how will you work toward it?	올해 끝내고 싶은 창작 프로젝트 한 가지는 무엇이고, 어떻게 노력할 건가요?
62	prompt-problem-26	B	Problem Solving	Decision Making	What is one challenge you often face when making decisions quickly, and how do you handle it?	빨리 결정을 내려야 할 때할 때 자주 겪는 어려움 한 가지와 그 대처 방법을 말해 주세요.
63	prompt-problem-31	B	Problem Solving	Group Projects	What is one challenge you often face when working on group projects, and how do you handle it?	조별 과제나 팀 프로젝트를 할 때할 때 자주 겪는 어려움 한 가지와 그 대처 방법을 말해 주세요.
64	prompt-problem-36	B	Problem Solving	Staying Focused	What is one challenge you often face when trying to stay focused, and how do you handle it?	집중을 유지하려고 할 때할 때 자주 겪는 어려움 한 가지와 그 대처 방법을 말해 주세요.
65	prompt-problem-41	B	Problem Solving	Unexpected Changes	What is one challenge you often face when dealing with unexpected changes, and how do you handle it?	예상치 못한 변화에 대응할 때할 때 자주 겪는 어려움 한 가지와 그 대처 방법을 말해 주세요.
66	prompt-problem-46	B	Problem Solving	Overthinking	What is one challenge you often face when overthinking small mistakes, and how do you handle it?	작은 실수를 지나치게 곱씹을 때할 때 자주 겪는 어려움 한 가지와 그 대처 방법을 말해 주세요.
67	prompt-balance-26	C	Balanced Opinion	Cashless Payments	What are the benefits and drawbacks of cashless payments, and what is your view?	현금 없는 결제 방식의 장점과 단점은 무엇이며, 당신의 생각은 어떤가요?
68	prompt-balance-31	C	Balanced Opinion	Short-Form Videos	What are the benefits and drawbacks of short-form videos, and what is your view?	숏폼 영상의 장점과 단점은 무엇이며, 당신의 생각은 어떤가요?
69	prompt-balance-36	C	Balanced Opinion	Food Delivery Apps	What are the benefits and drawbacks of food delivery apps, and what is your view?	배달 앱의 장점과 단점은 무엇이며, 당신의 생각은 어떤가요?
70	prompt-balance-41	C	Balanced Opinion	Online Reviews	What are the benefits and drawbacks of online reviews, and what is your view?	온라인 후기의 장점과 단점은 무엇이며, 당신의 생각은 어떤가요?
71	prompt-balance-46	C	Balanced Opinion	Wearable Devices	What are the benefits and drawbacks of wearable devices, and what is your view?	웨어러블 기기의 장점과 단점은 무엇이며, 당신의 생각은 어떤가요?
72	prompt-opinion-26	C	Opinion Reason	Public Libraries	What role should public libraries play in modern society?	공공도서관이 현대 사회에서 어떤 역할을 해야 하는지 말해 주세요.
73	prompt-opinion-31	C	Opinion Reason	School Uniforms	What role should school uniforms in public schools play in modern society?	공립학교 교복이 현대 사회에서 어떤 역할을 해야 하는지 말해 주세요.
74	prompt-opinion-36	C	Opinion Reason	Recycling Programs	What role should recycling programs play in modern society?	재활용 프로그램이 현대 사회에서 어떤 역할을 해야 하는지 말해 주세요.
75	prompt-opinion-41	C	Opinion Reason	Teenagers' Part-Time Jobs	What role should part-time jobs for teenagers play in modern society?	청소년의 아르바이트이 현대 사회에서 어떤 역할을 해야 하는지 말해 주세요.
76	prompt-opinion-46	C	Opinion Reason	Community Arts Programs	What role should community arts programs play in modern society?	지역 예술 프로그램이 현대 사회에서 어떤 역할을 해야 하는지 말해 주세요.
77	prompt-reflection-26	C	Change Reflection	Friendship	Describe how your view of friendship has changed over time.	우정에 대한 생각이 시간이 지나며 어떻게 바뀌었는지 설명해 주세요.
78	prompt-reflection-31	C	Change Reflection	Healthy Eating	Describe how your view of healthy eating has changed over time.	건강한 식습관에 대한 생각이 시간이 지나며 어떻게 바뀌었는지 설명해 주세요.
79	prompt-reflection-36	C	Change Reflection	News Consumption	Describe how your view of news consumption has changed over time.	뉴스를 보는 방식에 대한 생각이 시간이 지나며 어떻게 바뀌었는지 설명해 주세요.
80	prompt-reflection-41	C	Change Reflection	Travel	Describe how your view of travel has changed over time.	여행에 대한 생각이 시간이 지나며 어떻게 바뀌었는지 설명해 주세요.
81	prompt-reflection-46	C	Change Reflection	Failure	Describe how your view of failure has changed over time.	실패에 대한 생각이 시간이 지나며 어떻게 바뀌었는지 설명해 주세요.
82	prompt-general-26	B	General	Favorite Small Shop	Describe small shop you like and explain why it matters to you.	좋아하는 작은 가게를 설명하고 왜 중요하게 느끼는지 말해 주세요.
83	prompt-general-31	B	General	Useful Website	Describe website you find useful and explain why it matters to you.	유용하게 쓰는 웹사이트를 설명하고 왜 중요하게 느끼는지 말해 주세요.
84	prompt-general-36	B	General	Family Tradition	Describe family tradition you value and explain why it matters to you.	소중하게 여기는 가족 전통를 설명하고 왜 중요하게 느끼는지 말해 주세요.
85	prompt-general-41	B	General	Place to Walk	Describe place where you like to walk and explain why it matters to you.	걷기 좋아하는 장소를 설명하고 왜 중요하게 느끼는지 말해 주세요.
86	prompt-general-46	B	General	Household Item	Describe household item you use often and explain why it matters to you.	자주 쓰는 생활용품를 설명하고 왜 중요하게 느끼는지 말해 주세요.
87	prompt-routine-1101	A	Routine	Laundry Day at Home	What do you usually do on laundry day at home, and which part of that routine helps you the most?	집에서 빨래하는 날 보통 무엇을 하고, 그 루틴에서 가장 도움이 되는 부분이 무엇인지 설명해 주세요.
88	prompt-routine-1102	A	Routine	Before an Early Appointment	What do you usually do before an early appointment, and why does that routine work well for you?	이른 약속이 있기 전 보통 어떻게 보내는지, 그리고 그 루틴이 왜 잘 맞는지 설명해 주세요.
89	prompt-routine-1103	A	Routine	After Grocery Shopping	After grocery shopping, what do you usually do, and why?	장을 보고 돌아온 뒤 보통 무엇을 하는지, 그리고 왜 그렇게 하는지 말해 주세요.
90	prompt-routine-1104	A	Routine	While Waiting for Class	What do you usually do while waiting for class to begin, and which part of that routine helps you the most?	수업이 시작되길 기다릴 때 보통 무엇을 하고, 그 루틴에서 가장 도움이 되는 부분이 무엇인지 설명해 주세요.
91	prompt-routine-1105	A	Routine	Your First Hour at Work	What do you usually do during your first hour at work, and why does that routine work well for you?	출근 후 첫 한 시간 동안 보통 어떻게 보내는지, 그리고 그 루틴이 왜 잘 맞는지 설명해 주세요.
92	prompt-routine-1106	A	Routine	Quiet Sunday Evening	On a quiet Sunday evening, what do you usually do, and why?	조용한 일요일 저녁에 보통 무엇을 하는지, 그리고 왜 그렇게 하는지 말해 주세요.
93	prompt-routine-1107	A	Routine	Before Meeting Friends	What do you usually do before meeting friends for dinner, and which part of that routine helps you the most?	친구들과 저녁 약속 전에 보통 무엇을 하고, 그 루틴에서 가장 도움이 되는 부분이 무엇인지 설명해 주세요.
94	prompt-routine-1108	A	Routine	After a Workout	What do you usually do after finishing a workout, and why does that routine work well for you?	운동을 마친 뒤 보통 어떻게 보내는지, 그리고 그 루틴이 왜 잘 맞는지 설명해 주세요.
95	prompt-routine-1109	A	Routine	Long Train Ride	During a long train ride, what do you usually do, and why?	긴 기차 이동 중에 보통 무엇을 하는지, 그리고 왜 그렇게 하는지 말해 주세요.
96	prompt-routine-1110	A	Routine	Indoor Rest Day	What do you usually do on a day when you stay indoors, and which part of that routine helps you the most?	집에서 쉬는 날 보통 무엇을 하고, 그 루틴에서 가장 도움이 되는 부분이 무엇인지 설명해 주세요.
97	prompt-routine-1111	A	Routine	Exam Preparation Breaks	What do you usually do while preparing for an exam, and why does that routine work well for you?	시험을 준비할 때 보통 어떻게 보내는지, 그리고 그 루틴이 왜 잘 맞는지 설명해 주세요.
98	prompt-routine-1112	A	Routine	After a Late Lunch	After a late lunch, what do you usually do, and why?	늦은 점심을 먹은 뒤 보통 무엇을 하는지, 그리고 왜 그렇게 하는지 말해 주세요.
99	prompt-routine-1113	A	Routine	Room Cleaning Time	What do you usually do when you clean your room, and which part of that routine helps you the most?	방을 청소할 때 보통 무엇을 하고, 그 루틴에서 가장 도움이 되는 부분이 무엇인지 설명해 주세요.
100	prompt-routine-1114	A	Routine	Friday Night at Home	What do you usually do on Friday night at home, and why does that routine work well for you?	금요일 밤 집에서 보통 어떻게 보내는지, 그리고 그 루틴이 왜 잘 맞는지 설명해 주세요.
101	prompt-routine-1115	A	Routine	Before a Family Outing	Before a family outing, what do you usually do, and why?	가족과 외출하기 전에 보통 무엇을 하는지, 그리고 왜 그렇게 하는지 말해 주세요.
102	prompt-routine-1116	A	Routine	Weekend Evening	What do you usually do on weekend evenings, and which part of that routine helps you the most?	주말 저녁 시간에 보통 무엇을 하고, 그 루틴에서 가장 도움이 되는 부분이 무엇인지 설명해 주세요.
103	prompt-routine-1117	A	Routine	Arriving Too Early	What do you usually do when you arrive somewhere too early, and why does that routine work well for you?	어딘가에 너무 일찍 도착했을 때 보통 어떻게 보내는지, 그리고 그 루틴이 왜 잘 맞는지 설명해 주세요.
104	prompt-routine-1118	A	Routine	After a Shopping Trip	After a shopping trip, what do you usually do, and why?	쇼핑을 마치고 돌아온 뒤 보통 무엇을 하는지, 그리고 왜 그렇게 하는지 말해 주세요.
105	prompt-routine-1119	A	Routine	Before Leaving for School	What do you usually do before leaving for school, and which part of that routine helps you the most?	학교에 가기 전에 보통 무엇을 하고, 그 루틴에서 가장 도움이 되는 부분이 무엇인지 설명해 주세요.
106	prompt-routine-1120	A	Routine	Solo Subway Ride	What do you usually do while riding the subway alone, and why does that routine work well for you?	혼자 지하철을 탈 때 보통 어떻게 보내는지, 그리고 그 루틴이 왜 잘 맞는지 설명해 주세요.
107	prompt-routine-1121	A	Routine	After Household Chores	After finishing your household chores, what do you usually do, and why?	집안일을 끝낸 뒤 보통 무엇을 하는지, 그리고 왜 그렇게 하는지 말해 주세요.
108	prompt-routine-1122	A	Routine	Rainy Morning Indoors	What do you usually do on a rainy morning indoors, and which part of that routine helps you the most?	비 오는 아침 집 안에서 보통 무엇을 하고, 그 루틴에서 가장 도움이 되는 부분이 무엇인지 설명해 주세요.
109	prompt-routine-1123	A	Routine	Before a Side Project	What do you usually do before starting a side project, and why does that routine work well for you?	개인 프로젝트를 시작하기 전에 보통 어떻게 보내는지, 그리고 그 루틴이 왜 잘 맞는지 설명해 주세요.
110	prompt-routine-1124	A	Routine	Waiting at the Airport	While waiting at the airport, what do you usually do, and why?	공항에서 기다릴 때 보통 무엇을 하는지, 그리고 왜 그렇게 하는지 말해 주세요.
111	prompt-routine-1125	A	Routine	After a Short Nap	What do you usually do after taking a short nap, and which part of that routine helps you the most?	짧게 낮잠을 잔 뒤 보통 무엇을 하고, 그 루틴에서 가장 도움이 되는 부분이 무엇인지 설명해 주세요.
112	prompt-routine-1126	A	Routine	Campus Break Time	What do you usually do during a break on campus, and why does that routine work well for you?	캠퍼스에서 쉬는 시간에 보통 어떻게 보내는지, 그리고 그 루틴이 왜 잘 맞는지 설명해 주세요.
113	prompt-routine-1127	A	Routine	Before Recording a Video	Before recording a video for yourself or class, what do you usually do, and why?	수업이나 개인용 영상을 찍기 전에 보통 무엇을 하는지, 그리고 왜 그렇게 하는지 말해 주세요.
114	prompt-preference-1101	A	Preference	Weekday Breakfast Menu	What is your favorite weekday breakfast, and why do you like it?	평일 아침 메뉴 중에서 가장 좋아하는 것을 소개하고, 왜 즐기는지 설명해 주세요.
115	prompt-preference-1102	A	Preference	Summer Fruit	Tell me about your favorite summer fruit and explain why you like it so much.	가장 좋아하는 여름에 먹는 과일에 대해 말하고, 계속 그것을 고르는 이유를 설명해 주세요.
116	prompt-preference-1103	A	Preference	Rainy Day Drink	Describe your favorite rainy-day drink and explain what you like most about it.	가장 좋아하는 비 오는 날 마시는 음료을 설명하고, 그중 무엇을 가장 좋아하는지 말해 주세요.
117	prompt-preference-1104	A	Preference	Phone Case Style	What is your favorite phone case style, and why do you like it?	휴대폰 케이스 스타일 중에서 가장 좋아하는 것을 소개하고, 왜 즐기는지 설명해 주세요.
118	prompt-preference-1105	A	Preference	Notebook Type	Tell me about your favorite notebook type and explain why you like it so much.	가장 좋아하는 좋아하는 노트 종류에 대해 말하고, 계속 그것을 고르는 이유를 설명해 주세요.
119	prompt-preference-1106	A	Preference	Place to Read	Describe your favorite place to read and explain what you like most about it.	가장 좋아하는 책 읽기 좋은 장소을 설명하고, 그중 무엇을 가장 좋아하는지 말해 주세요.
120	prompt-preference-1107	A	Preference	Kind of Soup	What is your favorite kind of soup, and why do you like it?	좋아하는 수프 종류 중에서 가장 좋아하는 것을 소개하고, 왜 즐기는지 설명해 주세요.
121	prompt-preference-1108	A	Preference	Type of Bag	Tell me about your favorite type of bag and explain why you like it so much.	가장 좋아하는 자주 드는 가방 종류에 대해 말하고, 계속 그것을 고르는 이유를 설명해 주세요.
122	prompt-preference-1109	A	Preference	Board Game	Describe your favorite board game and explain what you like most about it.	가장 좋아하는 좋아하는 보드게임을 설명하고, 그중 무엇을 가장 좋아하는지 말해 주세요.
123	prompt-preference-1110	A	Preference	Way to Study Vocabulary	What is your favorite way to study vocabulary, and why do you like it?	단어 공부하는 방식 중에서 가장 좋아하는 것을 소개하고, 왜 즐기는지 설명해 주세요.
124	prompt-preference-1111	A	Preference	Flower Scent	Tell me about your favorite flower scent and explain why you like it so much.	가장 좋아하는 좋아하는 꽃 향에 대해 말하고, 계속 그것을 고르는 이유를 설명해 주세요.
125	prompt-preference-1112	A	Preference	Seat on the Bus	Describe your favorite seat on the bus and explain what you like most about it.	가장 좋아하는 버스에서 선호하는 자리을 설명하고, 그중 무엇을 가장 좋아하는지 말해 주세요.
126	prompt-preference-1113	A	Preference	Weather for Walking	What is your favorite kind of weather for walking, and why do you like it?	산책하기 좋은 날씨 중에서 가장 좋아하는 것을 소개하고, 왜 즐기는지 설명해 주세요.
127	prompt-preference-1114	A	Preference	Type of Sandwich	Tell me about your favorite type of sandwich and explain why you like it so much.	가장 좋아하는 좋아하는 샌드위치 종류에 대해 말하고, 계속 그것을 고르는 이유를 설명해 주세요.
128	prompt-preference-1115	A	Preference	Kitchen Tool	Describe your favorite kitchen tool and explain what you like most about it.	가장 좋아하는 가장 자주 쓰는 주방 도구을 설명하고, 그중 무엇을 가장 좋아하는지 말해 주세요.
129	prompt-preference-1116	A	Preference	Exercise Class	What is your favorite kind of exercise class, and why do you like it?	좋아하는 운동 수업 형태 중에서 가장 좋아하는 것을 소개하고, 왜 즐기는지 설명해 주세요.
130	prompt-preference-1117	A	Preference	Online Creator	Tell me about your favorite online creator and explain why you like it so much.	가장 좋아하는 자주 보는 온라인 크리에이터에 대해 말하고, 계속 그것을 고르는 이유를 설명해 주세요.
131	prompt-preference-1118	A	Preference	Break Time Snack	Describe your favorite snack for work or study breaks and explain what you like most about it.	가장 좋아하는 쉬는 시간에 먹는 간식을 설명하고, 그중 무엇을 가장 좋아하는지 말해 주세요.
132	prompt-preference-1119	A	Preference	Type of Pen	What is your favorite type of pen, and why do you like it?	좋아하는 펜 종류 중에서 가장 좋아하는 것을 소개하고, 왜 즐기는지 설명해 주세요.
133	prompt-preference-1120	A	Preference	Bakery Item	Tell me about your favorite bakery item and explain why you like it so much.	가장 좋아하는 베이커리에서 가장 좋아하는 메뉴에 대해 말하고, 계속 그것을 고르는 이유를 설명해 주세요.
134	prompt-preference-1121	A	Preference	Movie Snack	Describe your favorite movie snack and explain what you like most about it.	가장 좋아하는 영화 볼 때 먹는 간식을 설명하고, 그중 무엇을 가장 좋아하는지 말해 주세요.
135	prompt-preference-1122	A	Preference	Travel Souvenir	What is your favorite travel souvenir, and why do you like it?	좋아하는 여행 기념품 중에서 가장 좋아하는 것을 소개하고, 왜 즐기는지 설명해 주세요.
136	prompt-preference-1123	A	Preference	Candle Scent	Tell me about your favorite candle scent and explain why you like it so much.	가장 좋아하는 좋아하는 캔들 향에 대해 말하고, 계속 그것을 고르는 이유를 설명해 주세요.
137	prompt-preference-1124	A	Preference	Way to Organize Photos	Describe your favorite way to organize photos and explain what you like most about it.	가장 좋아하는 사진 정리하는 방식을 설명하고, 그중 무엇을 가장 좋아하는지 말해 주세요.
138	prompt-preference-1125	A	Preference	Kind of Tea	What is your favorite kind of tea, and why do you like it?	좋아하는 차 종류 중에서 가장 좋아하는 것을 소개하고, 왜 즐기는지 설명해 주세요.
139	prompt-preference-1126	A	Preference	Light Jacket	Tell me about your favorite light jacket and explain why you like it so much.	가장 좋아하는 좋아하는 가벼운 겉옷에 대해 말하고, 계속 그것을 고르는 이유를 설명해 주세요.
140	prompt-goal-1101	B	Goal Plan	Sleep Schedule	What is one goal you have for improving your sleep schedule this year, and how will you work toward it?	올해 수면 습관을 더 일정하게 만드는 것와 관련해 이루고 싶은 목표 한 가지와, 그것을 위해 어떻게 노력할지 설명해 주세요.
141	prompt-goal-1102	B	Goal Plan	Daily Journal	Describe one plan you have for keeping a daily journal this year and explain how you will stay consistent.	올해 매일 짧게 일기를 쓰는 것와 관련해 세운 계획 한 가지와, 어떻게 꾸준히 이어 갈지 설명해 주세요.
142	prompt-goal-1103	B	Goal Plan	Simple Cooking	What do you want to improve about learning to cook simple meals this year, and what steps will you take?	올해 간단한 요리를 스스로 할 수 있게 되는 것와 관련해 무엇을 더 잘하고 싶은지, 그리고 어떤 단계를 밟을지 말해 주세요.
143	prompt-goal-1104	B	Goal Plan	Digital File Organization	What is one goal you have for organizing your digital files this year, and how will you work toward it?	올해 디지털 파일을 정리하는 것와 관련해 이루고 싶은 목표 한 가지와, 그것을 위해 어떻게 노력할지 설명해 주세요.
144	prompt-goal-1105	B	Goal Plan	Meeting Confidence	Describe one plan you have for speaking more confidently in meetings this year and explain how you will stay consistent.	올해 회의에서 더 자신 있게 말하는 것와 관련해 세운 계획 한 가지와, 어떻게 꾸준히 이어 갈지 설명해 주세요.
